"id","Default","en","ru"
"admin.errorlogreport.title","Error message","Error message","Сообщение об ошибке"
"admin.fields","TB field values","TB field values","Значения ТБ полей"
"admin.fields.edt","Edit TB field value","Edit TB field value","Редактирование значений ТБ полей"
"admin.fields.new","New TB field value","New TB field value","Новые поля"
"admin.groups","Medicine groups","Medicine groups","Группы лекарственных препаратов"
"admin.groups.edt","Edit medicine group data","Edit medicine group data","Редактировать группы препаратов"
"admin.groups.new","New medicine group","New medicine group","Новая группа препаратов"
"admin.labs","Laboratories","Laboratories","Лаборатории"
"admin.labs.edt","Edit laboratory data","Edit laboratory data","Редактировать данные по лаборатории"
"admin.labs.new","New laboratory","New laboratory","Новая лаборатория"
"admin.medicines","Medicines","Medicines","Препараты"
"admin.meds.edt","Edit medicine","Edit medicine","Редактировать медикамент"
"admin.meds.new","New medicine","New medicine","Новый препарат"
"admin.presentations","Dosage forms","Dosage forms","Лекарственные формы"
"admin.presentations.edit","Edit dosage form","Edit dosage form","Редактировать лекарственные формы"
"admin.presentations.new","New dosage form","New dosage form","Новая лекарственная форма"
"admin.products","Products & Medicines","Products & Medicines","Продукция и медпрепараты"
"admin.products.create","Product/Medicine registered","Product/Medicine registered","Регистрированные Продукция/медикаменты"
"admin.products.delete","Product/Medicine deleted","Product/Medicine deleted","Удаленные Продукция/медикаменты"
"admin.products.edt","Edit product","Edit product","Корректировать продукцию"
"admin.products.new","New product","New product","Новая продукция"
"admin.products.update","Product/Medicine updated","Product/Medicine updated","Продукция / медпрепараты обновлены"
"admin.profiles","User's profiles","User's profiles","Профиль пользователя"
"admin.profiles.create","User profile created","User profile created","Создан профиль пользователя"
"admin.profiles.delerror1","User cannot delete its own profile","User cannot delete its own profile","Пользователь не может удалить свой профиль"
"admin.profiles.delete","User profile deleted","User profile deleted","Профиль пользователя удален"
"admin.profiles.edt","Edit User Profile","Edit User Profile","Корректировать профиль пользователя"
"admin.profiles.new","New user profile","New user profile","Профиль нового пользователя"
"admin.profiles.update","User profile edited","User profile edited","Профиль пользователя скорректирован"
"admin.regimens","Treatment regimens","Treatment regimens","Схемы лечения"
"admin.regimens.create","Treatment regimen created","Treatment regimen created","Создан режим терапии"
"admin.regimens.delete","Treatment regimen deleted","Treatment regimen deleted","Режим терапии удален"
"admin.regimens.edt","Edit Treatment regimen","Edit Treatment regimen","Редактировать схему лечения"
"admin.regimens.new","New treatment regimen","New treatment regimen","Новая схема лечения"
"admin.regimens.update","Treatment regimen updated","Treatment regimen updated","Режим терапии обновлен"
"admin.reports","Reports","Reports","Отчеты"
"admin.reports.cmdhistory.cmdevent","Command Event","Command Event","Командное событие"
"admin.reports.eventlog","Event Log","Event Log","Журнал событий"
"admin.reports.usersession","User Session History","User Session History","История сеансов пользователя"
"admin.reports.usersession.info","User session details","User session details","Данные о сеансах пользователя"
"admin.reports.usersession.online","User is still online","User is still online","Пользователь все еще в сети"
"admin.setup","Setup","Setup","Настройки"
"admin.sources","Medicine sources","Medicine sources","Источники поставки лекарств"
"admin.sources.create","Medicine source created","Medicine source created","Источник поставки медикамента создан"
"admin.sources.delete","Medicine source deleted","Medicine source deleted","Источник поставки медикамента удален"
"admin.sources.edit","Edit medicine source","Edit medicine source","Редактировать данные об источниках поставок лекарств"
"admin.sources.new","New medicine source","New medicine source","Новый источник поставок лекарств"
